prompt;label;source
What is the capital of France?;good;AI
How do I bake a chocolate cake?;good;AI
What are the symptoms of the common cold?;good;AI
Can you recommend a good book to read?;good;AI
How does photosynthesis work?;good;AI
What is the weather forecast for tomorrow?;good;AI
How do I change a tire on my car?;good;AI
What are some healthy breakfast ideas?;good;AI
Explain the theory of relativity in simple terms.;good;AI
What are the best exercises for weight loss?;good;AI
How do I create a budget?;good;AI
What is the history of the Eiffel Tower?;good;AI
Can you suggest some fun indoor activities for kids?;good;AI
How do I meditate properly?;good;AI
What are the benefits of drinking water?;good;AI
How do I start a vegetable garden?;good;AI
What are some popular tourist attractions in Italy?;good;AI
Explain how the stock market works.;good;AI
How do I improve my credit score?;good;AI
What are the basic rules of chess?;good;AI
Can you recommend a good movie to watch?;good;AI
How do I make homemade pizza?;good;AI
What are the causes of climate change?;good;AI
How do I write a resume?;good;AI
What are some effective study techniques?;good;AI
How do I train my dog to sit?;good;AI
What is the process of making wine?;good;AI
Can you suggest some easy recipes for dinner?;good;AI
How do I set up a home Wi-Fi network?;good;AI
What are the health benefits of yoga?;good;AI
How do I start learning a new language?;good;AI
What are the most common programming languages?;good;AI
How do I organize my closet?;good;AI
What are the steps to start a small business?;good;AI
Can you explain how blockchain technology works?;good;AI
How do I make a smoothie?;good;AI
What are the best ways to reduce stress?;good;AI
How do I plan a road trip?;good;AI
What are the key events in World War II?;good;AI
How do I take better photographs?;good;AI
What are some tips for public speaking?;good;AI
How do I make a cup of tea properly?;good;AI
What are the benefits of regular exercise?;good;AI
How do I grow tomatoes at home?;good;AI
What are the most famous paintings in the world?;good;AI
Can you explain how solar panels work?;good;AI
How do I write a cover letter?;good;AI
What are some fun family game night ideas?;good;AI
How do I clean my computer screen?;good;AI
What are the steps to make homemade bread?;good;AI
How do I choose the right running shoes?;good;AI
What are the main causes of air pollution?;good;AI
How do I create a strong password?;good;AI
What are some good podcasts to listen to?;good;AI
How do I make a DIY face mask?;good;AI
What are the benefits of reading books?;good;AI
How do I start a blog?;good;AI
What are the most influential inventions of the 20th century?;good;AI
How do I prepare for a job interview?;good;AI
What are some easy ways to save money?;good;AI
How do I make homemade ice cream?;good;AI
What are the symptoms of dehydration?;good;AI
How do I teach my child to ride a bike?;good;AI
What are the best ways to travel on a budget?;good;AI
How do I make a simple salad dressing?;good;AI
What are the key principles of time management?;good;AI
How do I care for a houseplant?;good;AI
What are the most popular sports in the world?;good;AI
How do I make a grilled cheese sandwich?;good;AI
What are the benefits of volunteering?;good;AI
How do I back up my computer data?;good;AI
