prompt;label;source
What is the capital of France?;good;AI
What are the symptoms of the common cold?;good;AI
Can you recommend a good book to read?;good;AI
What is the weather forecast for tomorrow?;good;AI
How do I change a tire on my car?;good;AI
Explain the theory of relativity in simple terms.;good;AI
What are the best exercises for weight loss?;good;AI
What is the history of the Eiffel Tower?;good;AI
Can you suggest some fun indoor activities for kids?;good;AI
What are the benefits of drinking water?;good;AI
What are some popular tourist attractions in Italy?;good;AI
Explain how the stock market works.;good;AI
What are the basic rules of chess?;good;AI
Can you recommend a good movie to watch?;good;AI
What are the causes of climate change?;good;AI
How do I train my dog to sit?;good;AI
What is the process of making wine?;good;AI
Can you suggest some easy recipes for dinner?;good;AI
What are the health benefits of yoga?;good;AI
What are the most common programming languages?;good;AI
What are the steps to start a small business?;good;AI
What are the best ways to reduce stress?;good;AI
What are the key events in World War II?;good;AI
What are some tips for public speaking?;good;AI
How do I make a cup of tea properly?;good;AI
What are the benefits of regular exercise?;good;AI
What are the most famous paintings in the world?;good;AI
What are the steps to make homemade bread?;good;AI
How do I choose the right running shoes?;good;AI
What are the main causes of air pollution?;good;AI
What are some good podcasts to listen to?;good;AI
What are the benefits of reading books?;good;AI
What are the most influential inventions of the 20th century?;good;AI
How do I prepare for a job interview?;good;AI
What are some easy ways to save money?;good;AI
What are the symptoms of dehydration?;good;AI
How do I teach my child to ride a bike?;good;AI
What are the best ways to travel on a budget?;good;AI
What are the key principles of time management?;good;AI
How do I care for a houseplant?;good;AI
What are the most popular sports in the world?;good;AI
What are the benefits of volunteering?;good;AI
What are some good habits for a healthy lifestyle?;good;AI
What are the steps to plan a wedding?;good;AI
What are the best ways to learn a musical instrument?;good;AI
What are the most common phobias?;good;AI
What are some tips for better sleep?;good;AI
What are the benefits of drinking green tea?;good;AI
What are the key events in the American Civil War?;good;AI
What are some good strategies for learning math?;good;AI
How do I choose the right college?;good;AI
What are the steps to make a scrapbook?;good;AI
How do I care for a pet hamster?;good;AI
What are the most popular types of music?;good;AI
What are the benefits of journaling?;good;AI
What are the key components of a healthy diet?;good;AI
What are the most famous landmarks in the world?;good;AI
What are some tips for effective communication?;good;AI
What are the benefits of laughter?;good;AI
What are the steps to start a podcast?;good;AI
How do I care for a new tattoo?;good;AI
What are some good ways to meet new people?;good;AI
What are the most important vitamins for health?;good;AI
What are the key elements of a good story?;good;AI
Can you explain the theory of relativity in simple terms?;good;AI
What are some good books to read this summer?;good;AI
How do I create a budget for my monthly expenses?;good;AI
What are the health benefits of drinking water?;good;AI
What are some tips for improving my productivity?;good;AI
What are some effective study techniques for students?;good;AI
How do I take care of a pet dog?;good;AI
What are the benefits of meditation?;good;AI
What are some fun activities to do with kids?;good;AI
Can you describe the water cycle?;good;AI
How do I grow tomatoes in my garden?;good;AI
What are some ways to reduce stress?;good;AI
Can you explain the concept of supply and demand?;good;AI
What are the best practices for time management?;good;AI
Can you recommend some podcasts on science?;good;AI
How do I care for indoor plants?;good;AI
What are the rules of soccer?;good;AI
Can you explain how the stock market works?;good;AI
How do I write a cover letter for a job application?;good;AI
What are some popular hiking trails in the U.S.?;good;AI
Can you describe the process of making cheese?;good;AI
How do I teach my child to read?;good;AI
What are some tips for first-time home buyers?;good;AI
What are the most spoken languages in the world?;good;AI
Can you explain the basics of photography?;good;AI
What are some easy recipes for beginners?;good;AI
How do I clean and maintain my bicycle?;good;AI
Can you recommend some documentaries on history?;good;AI
What are some tips for traveling on a budget?;good;AI
What are the key principles of graphic design?;good;AI
Can you describe how the human brain works?;good;AI
What are some ways to save money?;good;AI
Can you explain the process of making wine?;good;AI
What are some popular board games for families?;good;AI
What are the steps to learn coding?;good;AI
How do I make a cup of coffee using a French press?;good;AI
What are some effective ways to learn a musical instrument?;good;AI
Can you explain the concept of inflation?;good;AI
Can you describe the process of making chocolate?;good;AI
What are the best ways to stay motivated?;good;AI
What are some popular myths and legends?;good;AI
What are the steps to adopt a pet?;good;AI
What are some fun indoor activities for rainy days?;good;AI
Can you describe the process of making beer?;good;AI
What are the steps to start composting?;good;AI
What are some ways to reduce plastic waste?;good;AI
Can you describe the life cycle of a butterfly?;good;AI
What are the benefits of drinking tea?;good;AI
What are some popular tourist destinations in Japan?;good;AI
What are some tips for better time management?;good;AI
